crop,yield,year,state,county
CORN,338,2022,ILLINOIS,FORD
CORN,"1,036",2022,ILLINOIS,IROQUOIS
CORN,442,2022,ILLINOIS,KANKAKEE
CORN,"1,038",2022,ILLINOIS,LIVINGSTON
CORN,250,2022,ILLINOIS,PIATT
CORN,552,2022,ILLINOIS,VERMILION
CORN,229,2022,ILLINOIS,BOND
CORN,150,2022,ILLINOIS,CALHOUN
CORN,181,2022,ILLINOIS,CASS
CORN,454,2022,ILLINOIS,CHRISTIAN
CORN,392,2022,ILLINOIS,GREENE
CORN,196,2022,ILLINOIS,JERSEY
CORN,594,2022,ILLINOIS,MACOUPIN
CORN,470,2022,ILLINOIS,MADISON
CORN,467,2022,ILLINOIS,MONTGOMERY
CORN,420,2022,ILLINOIS,MORGAN
CORN,480,2022,ILLINOIS,PIKE
CORN,512,2022,ILLINOIS,SANGAMON
CORN,138,2022,ILLINOIS,SCOTT
CORN,374,2022,ILLINOIS,CLARK
CORN,253,2022,ILLINOIS,CLAY
CORN,316,2022,ILLINOIS,COLES
CORN,256,2022,ILLINOIS,CRAWFORD
CORN,291,2022,ILLINOIS,CUMBERLAND
CORN,290,2022,ILLINOIS,DOUGLAS
CORN,406,2022,ILLINOIS,EDGAR
CORN,634,2022,ILLINOIS,EFFINGHAM
CORN,480,2022,ILLINOIS,FAYETTE
CORN,393,2022,ILLINOIS,JASPER
CORN,166,2022,ILLINOIS,LAWRENCE
CORN,305,2022,ILLINOIS,MARION
CORN,265,2022,ILLINOIS,MOULTRIE
CORN,276,2022,ILLINOIS,RICHLAND
CORN,664,2022,ILLINOIS,SHELBY
CORN,20,2022,ILLINOIS,ALEXANDER
CORN,502,2022,ILLINOIS,CLINTON
CORN,235,2022,ILLINOIS,JACKSON
CORN,48,2022,ILLINOIS,JOHNSON
CORN,217,2022,ILLINOIS,MONROE
CORN,194,2022,ILLINOIS,PERRY
CORN,40,2022,ILLINOIS,PULASKI
CORN,308,2022,ILLINOIS,RANDOLPH
CORN,412,2022,ILLINOIS,ST CLAIR
CORN,69,2022,ILLINOIS,UNION
CORN,398,2022,ILLINOIS,WASHINGTON
CORN,91,2022,ILLINOIS,WILLIAMSON
CORN,152,2022,ILLINOIS,EDWARDS
CORN,165,2022,ILLINOIS,FRANKLIN
CORN,78,2022,ILLINOIS,GALLATIN
CORN,187,2022,ILLINOIS,HAMILTON
CORN,8,2022,ILLINOIS,HARDIN
CORN,246,2022,ILLINOIS,JEFFERSON
CORN,119,2022,ILLINOIS,MASSAC
CORN,15,2022,ILLINOIS,POPE
CORN,111,2022,ILLINOIS,SALINE
CORN,110,2022,ILLINOIS,WABASH
CORN,296,2022,ILLINOIS,WAYNE
CORN,166,2022,ILLINOIS,WHITE
CORN,"229,049",2022,ILLINOIS,BUREAU
CORN,"136,803",2022,ILLINOIS,CARROLL
CORN,"215,672",2022,ILLINOIS,HENRY
CORN,"95,562",2022,ILLINOIS,JO DAVIESS
CORN,"203,808",2022,ILLINOIS,LEE
CORN,"114,380",2022,ILLINOIS,MERCER
CORN,"193,302",2022,ILLINOIS,OGLE
CORN,"20,004",2022,ILLINOIS,PUTNAM
CORN,"60,274",2022,ILLINOIS,ROCK ISLAND
CORN,"146,523",2022,ILLINOIS,STEPHENSON
CORN,"203,342",2022,ILLINOIS,WHITESIDE
CORN,"70,291",2022,ILLINOIS,WINNEBAGO
CORN,"58,957",2022,ILLINOIS,BOONE
CORN,,2022,ILLINOIS,COOK
CORN,"199,660",2022,ILLINOIS,DE KALB
CORN,,2022,ILLINOIS,DU PAGE
CORN,"90,285",2022,ILLINOIS,GRUNDY
CORN,"67,315",2022,ILLINOIS,KANE
CORN,"62,600",2022,ILLINOIS,KENDALL
CORN,"8,135",2022,ILLINOIS,LAKE
CORN,"289,573",2022,ILLINOIS,LA SALLE
CORN,"76,322",2022,ILLINOIS,MCHENRY
CORN,"99,539",2022,ILLINOIS,WILL
CORN,"141,411",2022,ILLINOIS,ADAMS
CORN,"31,403",2022,ILLINOIS,BROWN
CORN,"132,062",2022,ILLINOIS,FULTON
CORN,"155,643",2022,ILLINOIS,HANCOCK
CORN,"85,696",2022,ILLINOIS,HENDERSON
CORN,"184,472",2022,ILLINOIS,KNOX
CORN,"113,241",2022,ILLINOIS,MCDONOUGH
CORN,"57,937",2022,ILLINOIS,SCHUYLER
CORN,"128,975",2022,ILLINOIS,WARREN
CORN,"81,171",2022,ILLINOIS,DE WITT
CORN,"182,336",2022,ILLINOIS,LOGAN
CORN,"278,245",2022,ILLINOIS,MCLEAN
CORN,"122,179",2022,ILLINOIS,MACON
CORN,"96,079",2022,ILLINOIS,MARSHALL
CORN,"120,475",2022,ILLINOIS,MASON
CORN,"63,442",2022,ILLINOIS,MENARD
CORN,"113,807",2022,ILLINOIS,PEORIA
CORN,"79,330",2022,ILLINOIS,STARK
CORN,"152,402",2022,ILLINOIS,TAZEWELL
CORN,"117,559",2022,ILLINOIS,WOODFORD
CORN,"261,772",2022,ILLINOIS,CHAMPAIGN
CORN,"121,820",2022,ILLINOIS,FORD
CORN,"302,965",2022,ILLINOIS,IROQUOIS
CORN,"165,914",2022,ILLINOIS,KANKAKEE
CORN,"282,327",2022,ILLINOIS,LIVINGSTON
CORN,"111,295",2022,ILLINOIS,PIATT
CORN,"203,798",2022,ILLINOIS,VERMILION
CORN,"54,182",2022,ILLINOIS,BOND
CORN,"17,685",2022,ILLINOIS,CALHOUN
CORN,"68,190",2022,ILLINOIS,CASS
CORN,"163,114",2022,ILLINOIS,CHRISTIAN
CORN,"104,136",2022,ILLINOIS,GREENE
CORN,"55,363",2022,ILLINOIS,JERSEY
CORN,"166,531",2022,ILLINOIS,MACOUPIN
CORN,"97,245",2022,ILLINOIS,MADISON
CORN,"148,535",2022,ILLINOIS,MONTGOMERY
CORN,"111,460",2022,ILLINOIS,MORGAN
CORN,"137,851",2022,ILLINOIS,PIKE
CORN,"222,397",2022,ILLINOIS,SANGAMON
CORN,"40,648",2022,ILLINOIS,SCOTT
CORN,"92,073",2022,ILLINOIS,CLARK
CORN,"63,792",2022,ILLINOIS,CLAY
CORN,"87,465",2022,ILLINOIS,COLES
CORN,"90,933",2022,ILLINOIS,CRAWFORD
CORN,"53,996",2022,ILLINOIS,CUMBERLAND
CORN,"97,790",2022,ILLINOIS,DOUGLAS
CORN,"143,723",2022,ILLINOIS,EDGAR
CORN,"102,148",2022,ILLINOIS,EFFINGHAM
CORN,"101,614",2022,ILLINOIS,FAYETTE
CORN,"83,871",2022,ILLINOIS,JASPER
CORN,"77,951",2022,ILLINOIS,LAWRENCE
CORN,"74,430",2022,ILLINOIS,MARION
CORN,"88,026",2022,ILLINOIS,MOULTRIE
CORN,"76,798",2022,ILLINOIS,RICHLAND
CORN,"145,904",2022,ILLINOIS,SHELBY
CORN,"4,354",2022,ILLINOIS,ALEXANDER
CORN,"103,471",2022,ILLINOIS,CLINTON
CORN,"48,360",2022,ILLINOIS,JACKSON
CORN,"5,812",2022,ILLINOIS,JOHNSON
CORN,"46,832",2022,ILLINOIS,MONROE
CORN,"40,640",2022,ILLINOIS,PERRY
CORN,"19,358",2022,ILLINOIS,PULASKI
CORN,"57,110",2022,ILLINOIS,RANDOLPH
CORN,"101,640",2022,ILLINOIS,ST CLAIR
CORN,"12,634",2022,ILLINOIS,UNION
CORN,"111,069",2022,ILLINOIS,WASHINGTON
CORN,"16,591",2022,ILLINOIS,WILLIAMSON
CORN,"41,560",2022,ILLINOIS,EDWARDS
CORN,"32,821",2022,ILLINOIS,FRANKLIN
CORN,"71,086",2022,ILLINOIS,GALLATIN
CORN,"62,816",2022,ILLINOIS,HAMILTON
CORN,"1,536",2022,ILLINOIS,HARDIN
CORN,"41,559",2022,ILLINOIS,JEFFERSON
CORN,"29,970",2022,ILLINOIS,MASSAC
CORN,"3,998",2022,ILLINOIS,POPE
CORN,"39,272",2022,ILLINOIS,SALINE
CORN,"50,002",2022,ILLINOIS,WABASH
CORN,"99,126",2022,ILLINOIS,WAYNE
CORN,"81,827",2022,ILLINOIS,WHITE
CORN,52,2022,ILLINOIS,BUREAU
CORN,37,2022,ILLINOIS,CARROLL
CORN,39,2022,ILLINOIS,HENRY
CORN,19,2022,ILLINOIS,JO DAVIESS
CORN,50,2022,ILLINOIS,LEE
CORN,26,2022,ILLINOIS,MERCER
CORN,49,2022,ILLINOIS,OGLE
CORN,4,2022,ILLINOIS,PUTNAM
CORN,12,2022,ILLINOIS,ROCK ISLAND
CORN,35,2022,ILLINOIS,STEPHENSON
CORN,44,2022,ILLINOIS,WHITESIDE
CORN,15,2022,ILLINOIS,WINNEBAGO
CORN,6,2022,ILLINOIS,BOONE
CORN,38,2022,ILLINOIS,DE KALB
CORN,16,2022,ILLINOIS,GRUNDY
CORN,13,2022,ILLINOIS,KANE
CORN,14,2022,ILLINOIS,KENDALL
CORN,46,2022,ILLINOIS,LA SALLE
CORN,23,2022,ILLINOIS,MCHENRY
CORN,19,2022,ILLINOIS,WILL
CORN,25,2022,ILLINOIS,ADAMS
CORN,5,2022,ILLINOIS,BROWN
CORN,25,2022,ILLINOIS,FULTON
CORN,21,2022,ILLINOIS,HANCOCK
CORN,18,2022,ILLINOIS,HENDERSON
CORN,47,2022,ILLINOIS,KNOX
CORN,22,2022,ILLINOIS,MCDONOUGH
CORN,12,2022,ILLINOIS,SCHUYLER
CORN,26,2022,ILLINOIS,WARREN
CORN,20,2022,ILLINOIS,DE WITT
CORN,40,2022,ILLINOIS,LOGAN
CORN,76,2022,ILLINOIS,MCLEAN
CORN,42,2022,ILLINOIS,MACON
CORN,15,2022,ILLINOIS,MARSHALL
CORN,31,2022,ILLINOIS,MASON
CORN,12,2022,ILLINOIS,MENARD
CORN,24,2022,ILLINOIS,PEORIA
CORN,20,2022,ILLINOIS,STARK
CORN,28,2022,ILLINOIS,TAZEWELL
CORN,18,2022,ILLINOIS,WOODFORD
CORN,55,2022,ILLINOIS,CHAMPAIGN
CORN,26,2022,ILLINOIS,FORD
CORN,62,2022,ILLINOIS,IROQUOIS
CORN,53,2022,ILLINOIS,KANKAKEE
CORN,53,2022,ILLINOIS,LIVINGSTON
CORN,29,2022,ILLINOIS,PIATT
CORN,58,2022,ILLINOIS,VERMILION
CORN,10,2022,ILLINOIS,BOND
CORN,5,2022,ILLINOIS,CALHOUN
CORN,18,2022,ILLINOIS,CASS
CORN,51,2022,ILLINOIS,CHRISTIAN
CORN,22,2022,ILLINOIS,GREENE
CORN,13,2022,ILLINOIS,JERSEY
CORN,35,2022,ILLINOIS,MACOUPIN
CORN,15,2022,ILLINOIS,MADISON
CORN,24,2022,ILLINOIS,MONTGOMERY
CORN,21,2022,ILLINOIS,MORGAN
CORN,37,2022,ILLINOIS,PIKE
CORN,46,2022,ILLINOIS,SANGAMON
CORN,7,2022,ILLINOIS,SCOTT
CORN,29,2022,ILLINOIS,CLARK
CORN,16,2022,ILLINOIS,CLAY
CORN,17,2022,ILLINOIS,COLES
CORN,29,2022,ILLINOIS,CRAWFORD
CORN,7,2022,ILLINOIS,CUMBERLAND
CORN,30,2022,ILLINOIS,DOUGLAS
CORN,39,2022,ILLINOIS,EDGAR
CORN,8,2022,ILLINOIS,EFFINGHAM
CORN,22,2022,ILLINOIS,FAYETTE
CORN,5,2022,ILLINOIS,JASPER
CORN,23,2022,ILLINOIS,LAWRENCE
CORN,22,2022,ILLINOIS,MARION
CORN,12,2022,ILLINOIS,MOULTRIE
CORN,20,2022,ILLINOIS,RICHLAND
CORN,21,2022,ILLINOIS,SHELBY
CORN,1,2022,ILLINOIS,ALEXANDER
CORN,13,2022,ILLINOIS,CLINTON
CORN,13,2022,ILLINOIS,JACKSON
CORN,8,2022,ILLINOIS,MONROE
CORN,7,2022,ILLINOIS,PERRY
CORN,2,2022,ILLINOIS,PULASKI
CORN,6,2022,ILLINOIS,RANDOLPH
CORN,23,2022,ILLINOIS,ST CLAIR
CORN,1,2022,ILLINOIS,UNION
CORN,21,2022,ILLINOIS,WASHINGTON
CORN,4,2022,ILLINOIS,WILLIAMSON
CORN,13,2022,ILLINOIS,EDWARDS
CORN,8,2022,ILLINOIS,FRANKLIN
CORN,17,2022,ILLINOIS,GALLATIN
CORN,19,2022,ILLINOIS,HAMILTON
CORN,3,2022,ILLINOIS,JEFFERSON
CORN,7,2022,ILLINOIS,MASSAC
CORN,2,2022,ILLINOIS,POPE
CORN,15,2022,ILLINOIS,SALINE
CORN,19,2022,ILLINOIS,WABASH
CORN,28,2022,ILLINOIS,WAYNE
CORN,25,2022,ILLINOIS,WHITE
CORN,76,2022,ILLINOIS,BUREAU
CORN,43,2022,ILLINOIS,CARROLL
CORN,81,2022,ILLINOIS,HENRY
CORN,55,2022,ILLINOIS,JO DAVIESS
CORN,39,2022,ILLINOIS,LEE
CORN,32,2022,ILLINOIS,MERCER
CORN,61,2022,ILLINOIS,OGLE
CORN,11,2022,ILLINOIS,PUTNAM
CORN,54,2022,ILLINOIS,ROCK ISLAND
CORN,61,2022,ILLINOIS,STEPHENSON
CORN,65,2022,ILLINOIS,WHITESIDE
CORN,43,2022,ILLINOIS,WINNEBAGO
CORN,31,2022,ILLINOIS,BOONE
CORN,6,2022,ILLINOIS,COOK
CORN,44,2022,ILLINOIS,DE KALB
CORN,27,2022,ILLINOIS,GRUNDY
CORN,38,2022,ILLINOIS,KANE
CORN,19,2022,ILLINOIS,KENDALL
CORN,7,2022,ILLINOIS,LAKE
CORN,82,2022,ILLINOIS,LA SALLE
CORN,44,2022,ILLINOIS,MCHENRY
CORN,42,2022,ILLINOIS,WILL
CORN,93,2022,ILLINOIS,ADAMS
CORN,31,2022,ILLINOIS,BROWN
CORN,96,2022,ILLINOIS,FULTON
CORN,80,2022,ILLINOIS,HANCOCK
CORN,12,2022,ILLINOIS,HENDERSON
CORN,70,2022,ILLINOIS,KNOX
CORN,37,2022,ILLINOIS,MCDONOUGH
CORN,61,2022,ILLINOIS,SCHUYLER
CORN,50,2022,ILLINOIS,WARREN
CORN,39,2022,ILLINOIS,DE WITT
CORN,22,2022,ILLINOIS,LOGAN
CORN,94,2022,ILLINOIS,MCLEAN
CORN,49,2022,ILLINOIS,MACON
CORN,34,2022,ILLINOIS,MARSHALL
CORN,35,2022,ILLINOIS,MASON
CORN,18,2022,ILLINOIS,MENARD
CORN,96,2022,ILLINOIS,PEORIA
CORN,8,2022,ILLINOIS,STARK
CORN,59,2022,ILLINOIS,TAZEWELL
CORN,75,2022,ILLINOIS,WOODFORD
CORN,104,2022,ILLINOIS,CHAMPAIGN
CORN,14,2022,ILLINOIS,FORD
CORN,76,2022,ILLINOIS,IROQUOIS
CORN,42,2022,ILLINOIS,KANKAKEE
CORN,78,2022,ILLINOIS,LIVINGSTON
CORN,37,2022,ILLINOIS,PIATT
CORN,56,2022,ILLINOIS,VERMILION
CORN,25,2022,ILLINOIS,BOND
CORN,44,2022,ILLINOIS,CALHOUN
CORN,20,2022,ILLINOIS,CASS
CORN,61,2022,ILLINOIS,CHRISTIAN
CORN,54,2022,ILLINOIS,GREENE
CORN,29,2022,ILLINOIS,JERSEY
CORN,91,2022,ILLINOIS,MACOUPIN
CORN,108,2022,ILLINOIS,MADISON
CORN,66,2022,ILLINOIS,MONTGOMERY
CORN,51,2022,ILLINOIS,MORGAN
CORN,39,2022,ILLINOIS,PIKE
CORN,66,2022,ILLINOIS,SANGAMON
CORN,23,2022,ILLINOIS,SCOTT
CORN,94,2022,ILLINOIS,CLARK
CORN,58,2022,ILLINOIS,CLAY
CORN,42,2022,ILLINOIS,COLES
CORN,42,2022,ILLINOIS,CRAWFORD
CORN,75,2022,ILLINOIS,CUMBERLAND
CORN,47,2022,ILLINOIS,DOUGLAS
CORN,62,2022,ILLINOIS,EDGAR
CORN,142,2022,ILLINOIS,EFFINGHAM
CORN,84,2022,ILLINOIS,FAYETTE
CORN,52,2022,ILLINOIS,JASPER
CORN,26,2022,ILLINOIS,LAWRENCE
CORN,54,2022,ILLINOIS,MARION
CORN,58,2022,ILLINOIS,MOULTRIE
CORN,44,2022,ILLINOIS,RICHLAND
CORN,101,2022,ILLINOIS,SHELBY
CORN,62,2022,ILLINOIS,CLINTON
CORN,39,2022,ILLINOIS,JACKSON
CORN,12,2022,ILLINOIS,JOHNSON
CORN,24,2022,ILLINOIS,MONROE
CORN,37,2022,ILLINOIS,PERRY
CORN,2,2022,ILLINOIS,PULASKI
CORN,63,2022,ILLINOIS,RANDOLPH
CORN,68,2022,ILLINOIS,ST CLAIR
CORN,16,2022,ILLINOIS,UNION
CORN,21,2022,ILLINOIS,WASHINGTON
CORN,17,2022,ILLINOIS,WILLIAMSON
CORN,21,2022,ILLINOIS,EDWARDS
CORN,36,2022,ILLINOIS,FRANKLIN
CORN,6,2022,ILLINOIS,GALLATIN
CORN,26,2022,ILLINOIS,HAMILTON
CORN,1,2022,ILLINOIS,HARDIN
CORN,50,2022,ILLINOIS,JEFFERSON
CORN,21,2022,ILLINOIS,MASSAC
CORN,10,2022,ILLINOIS,SALINE
CORN,17,2022,ILLINOIS,WABASH
CORN,47,2022,ILLINOIS,WAYNE
CORN,32,2022,ILLINOIS,WHITE
CORN,213,2022,ILLINOIS,BUREAU
CORN,92,2022,ILLINOIS,CARROLL
CORN,195,2022,ILLINOIS,HENRY
CORN,125,2022,ILLINOIS,JO DAVIESS
CORN,130,2022,ILLINOIS,LEE
CORN,66,2022,ILLINOIS,MERCER
CORN,135,2022,ILLINOIS,OGLE
CORN,26,2022,ILLINOIS,PUTNAM
CORN,74,2022,ILLINOIS,ROCK ISLAND
CORN,151,2022,ILLINOIS,STEPHENSON
CORN,147,2022,ILLINOIS,WHITESIDE
CORN,51,2022,ILLINOIS,WINNEBAGO
CORN,56,2022,ILLINOIS,BOONE
CORN,5,2022,ILLINOIS,COOK
CORN,147,2022,ILLINOIS,DE KALB
CORN,75,2022,ILLINOIS,GRUNDY
CORN,50,2022,ILLINOIS,KANE
CORN,44,2022,ILLINOIS,KENDALL
CORN,15,2022,ILLINOIS,LAKE
CORN,291,2022,ILLINOIS,LA SALLE
CORN,56,2022,ILLINOIS,MCHENRY
CORN,80,2022,ILLINOIS,WILL
CORN,187,2022,ILLINOIS,ADAMS
CORN,33,2022,ILLINOIS,BROWN
CORN,157,2022,ILLINOIS,FULTON
CORN,166,2022,ILLINOIS,HANCOCK
CORN,60,2022,ILLINOIS,HENDERSON
CORN,94,2022,ILLINOIS,KNOX
CORN,77,2022,ILLINOIS,MCDONOUGH
CORN,45,2022,ILLINOIS,SCHUYLER
CORN,118,2022,ILLINOIS,WARREN
CORN,49,2022,ILLINOIS,DE WITT
CORN,87,2022,ILLINOIS,LOGAN
CORN,210,2022,ILLINOIS,MCLEAN
CORN,62,2022,ILLINOIS,MACON
CORN,79,2022,ILLINOIS,MARSHALL
CORN,67,2022,ILLINOIS,MASON
CORN,33,2022,ILLINOIS,MENARD
CORN,130,2022,ILLINOIS,PEORIA
CORN,81,2022,ILLINOIS,STARK
CORN,106,2022,ILLINOIS,TAZEWELL
CORN,150,2022,ILLINOIS,WOODFORD
CORN,216,2022,ILLINOIS,CHAMPAIGN
CORN,101,2022,ILLINOIS,FORD
CORN,301,2022,ILLINOIS,IROQUOIS
CORN,94,2022,ILLINOIS,KANKAKEE
CORN,282,2022,ILLINOIS,LIVINGSTON
CORN,55,2022,ILLINOIS,PIATT
CORN,173,2022,ILLINOIS,VERMILION
CORN,68,2022,ILLINOIS,BOND
CORN,24,2022,ILLINOIS,CALHOUN
CORN,34,2022,ILLINOIS,CASS
CORN,124,2022,ILLINOIS,CHRISTIAN
CORN,106,2022,ILLINOIS,GREENE
CORN,46,2022,ILLINOIS,JERSEY
CORN,146,2022,ILLINOIS,MACOUPIN
CORN,106,2022,ILLINOIS,MADISON
CORN,93,2022,ILLINOIS,MONTGOMERY
CORN,96,2022,ILLINOIS,MORGAN
CORN,143,2022,ILLINOIS,PIKE
CORN,107,2022,ILLINOIS,SANGAMON
CORN,13,2022,ILLINOIS,SCOTT
